policy_id,policyholder_id,policy_type,start_date,end_date,premium_amount,coverage_amount,status
56,159,Individual,2024-01-12,2025-01-11,3519.87,14211.71,Cancelled
57,167,Family,2023-01-20,2024-01-20,1779.89,41336.68,Expired
58,29,Individual,2025-05-14,2026-05-14,3440.48,28687.54,Cancelled
59,87,Group,2023-06-14,2024-06-13,1497.3,37301.18,Cancelled
60,76,Individual,2023-01-06,2024-01-06,4833.88,25505.83,Expired
61,191,Group,2024-12-11,2025-12-11,4933.59,14862.1,Active
62,10,Family,2024-04-05,2025-04-05,2778.32,40264.65,Expired
63,92,Group,2022-10-24,2023-10-24,1301.36,11785.64,Active
64,125,Family,2024-04-13,2025-04-13,4604.29,47791.33,Cancelled
65,146,Group,2025-02-03,2026-02-03,4503.51,19186.21,Cancelled
66,200,Group,2023-11-09,2024-11-08,3794.01,26804.44,Expired
67,30,Individual,2023-09-05,2024-09-04,2703.88,32640.52,Active
68,27,Family,2023-03-04,2024-03-03,1251.69,26606.46,Active
69,188,Individual,2025-01-02,2026-01-02,4165.37,27243.45,Expired
70,8,Family,2023-01-20,2024-01-20,4677.13,48489.7,Cancelled
71,65,Individual,2024-02-08,2025-02-07,2410.01,14855.12,Cancelled
72,8,Family,2025-01-02,2026-01-02,2391.51,10398.57,Active
73,94,Individual,2023-07-11,2024-07-10,3386.36,15731.65,Active
74,53,Group,2025-07-26,2026-07-26,3695.04,47530.49,Active
75,192,Individual,2023-06-10,2024-06-09,2173.05,37578.66,Cancelled
76,60,Individual,2025-06-03,2026-06-03,1747.97,14495.64,Expired
77,182,Family,2024-11-04,2025-11-04,1520.63,48660.77,Expired
78,86,Family,2024-05-21,2025-05-21,4843.63,21853.87,Cancelled
79,163,Family,2025-05-21,2026-05-21,1736.18,49718.07,Active
80,137,Group,2023-04-28,2024-04-27,2231.05,25063.56,Active
81,33,Individual,2024-06-28,2025-06-28,2263.57,19713.55,Active
82,75,Family,2025-04-30,2026-04-30,2679.14,11850.23,Active
83,154,Individual,2022-09-19,2023-09-19,2575.2,38086.78,Active
84,108,Family,2023-10-20,2024-10-19,3203.11,39635.15,Active
85,152,Family,2023-09-13,2024-09-12,2192.11,24182.56,Active
86,114,Group,2022-12-30,2023-12-30,2477.02,47957.28,Active
87,97,Family,2022-08-23,2023-08-23,1033.71,48478.26,Expired
88,113,Individual,2024-07-22,2025-07-22,2486.39,48093.64,Active
89,48,Individual,2023-11-21,2024-11-20,2107.88,32327.26,Cancelled
90,40,Group,2023-10-23,2024-10-22,2784.66,25951.08,Expired
91,111,Individual,2024-03-11,2025-03-11,1991.83,28137.88,Cancelled
92,37,Family,2022-10-22,2023-10-22,2849.74,35492.14,Expired
93,194,Individual,2024-05-31,2025-05-31,2178.91,43206.95,Expired
94,159,Family,2022-10-09,2023-10-09,1031.11,21942.4,Cancelled
95,78,Group,2025-04-08,2026-04-08,3436.64,26968.36,Expired
96,24,Group,2022-10-24,2023-10-24,2990.72,48436.72,Cancelled
97,196,Family,2023-06-22,2024-06-21,2120.35,49360.61,Active
98,70,Group,2025-03-20,2026-03-20,1162.19,20263.03,Cancelled
99,149,Group,2022-08-22,2023-08-22,2584.94,14081.27,Expired
100,91,Family,2023-04-02,2024-04-01,4485.19,36901.9,Active
101,153,Individual,2022-12-31,2023-12-31,1141.8,41689.46,Expired
102,137,Family,2023-06-28,2024-06-27,1472.74,44378.13,Active
103,18,Family,2024-10-22,2025-10-22,4443.76,21309.92,Active
104,147,Group,2025-05-14,2026-05-14,3508.56,31255.03,Expired
105,163,Group,2024-04-25,2025-04-25,2613.65,41142.01,Expired
106,75,Family,2024-05-13,2025-05-13,2487.22,35152.44,Active
107,32,Group,2025-08-06,2026-08-06,1482.07,26048.66,Expired
108,36,Group,2023-12-23,2024-12-22,3673.03,24162.31,Expired
109,191,Family,2023-02-03,2024-02-03,1872.04,29554.33,Cancelled
110,82,Family,2023-01-23,2024-01-23,3608.22,12408.88,Expired
111,37,Group,2025-05-13,2026-05-13,2982.09,45493.41,Active
112,7,Family,2023-08-30,2024-08-29,2886.12,45541.8,Active
113,135,Individual,2023-12-23,2024-12-22,3747.58,13254.92,Cancelled
114,172,Family,2022-12-28,2023-12-28,1025.69,11647.11,Cancelled
115,1,Family,2025-04-18,2026-04-18,4492.59,37987.43,Cancelled
116,59,Individual,2023-05-25,2024-05-24,4006.46,21516.96,Active
117,112,Family,2023-05-25,2024-05-24,3865.38,25365.21,Expired
118,108,Group,2024-11-24,2025-11-24,4588.8,27410.81,Expired
119,182,Individual,2023-08-20,2024-08-19,3096.65,15168.92,Active
120,114,Family,2025-08-18,2026-08-18,4157.35,25555.01,Expired
121,100,Group,2024-09-12,2025-09-12,1880.64,17847.79,Active
122,151,Group,2024-11-12,2025-11-12,1199.17,25533.9,Active
123,163,Individual,2025-03-25,2026-03-25,4484.04,24544.41,Cancelled
124,164,Group,2025-03-13,2026-03-13,1693.5,34431.2,Cancelled
125,23,Group,2023-01-12,2024-01-12,4475.37,40059.68,Expired
126,106,Family,2024-06-21,2025-06-21,1215.76,37872.2,Cancelled
127,167,Group,2025-01-13,2026-01-13,4719.04,47363.05,Cancelled
128,117,Family,2024-10-25,2025-10-25,2019.01,29026.1,Expired
129,69,Individual,2023-08-14,2024-08-13,1175.23,16514.3,Active
130,75,Group,2024-10-18,2025-10-18,1028.52,12547.61,Expired
131,175,Individual,2024-01-21,2025-01-20,4882.7,25860.58,Active
132,117,Individual,2023-10-15,2024-10-14,2358.01,14093.55,Active
133,82,Family,2024-10-27,2025-10-27,3143.6,45739.02,Expired
134,8,Group,2024-04-04,2025-04-04,1177.41,24748.17,Active
135,135,Family,2024-07-09,2025-07-09,1751.14,18064.86,Cancelled
136,187,Group,2023-02-05,2024-02-05,2205.29,30676.02,Expired
137,66,Family,2025-01-15,2026-01-15,2375.76,38499.22,Active
138,79,Group,2022-08-20,2023-08-20,1289.35,28437.24,Cancelled
139,113,Individual,2025-05-28,2026-05-28,4668.59,26484.81,Expired
140,118,Family,2024-05-16,2025-05-16,1472.49,13259.08,Active
141,196,Individual,2022-12-23,2023-12-23,2656.05,46769.37,Expired
142,157,Individual,2024-02-06,2025-02-05,4272.03,32360.45,Expired
143,11,Individual,2023-11-20,2024-11-19,1998.91,18802.02,Expired
144,91,Family,2024-12-13,2025-12-13,4978.68,14291.42,Expired
145,157,Group,2022-11-17,2023-11-17,4156.15,38442.72,Expired
146,132,Group,2022-10-31,2023-10-31,2848.31,35374.25,Expired
147,60,Individual,2024-03-19,2025-03-19,1474.92,41339.75,Active
148,45,Group,2023-05-30,2024-05-29,2658.64,18722.59,Cancelled
149,169,Individual,2023-01-20,2024-01-20,3967.69,30611.32,Active
150,32,Family,2023-09-07,2024-09-06,3580.79,14729.77,Cancelled
151,145,Family,2024-02-28,2025-02-27,1918.25,38661.97,Cancelled
152,170,Family,2024-11-03,2025-11-03,1886.23,43272.0,Active
153,17,Group,2022-10-12,2023-10-12,2230.07,23092.37,Expired
154,161,Family,2024-01-17,2025-01-16,2147.32,16855.3,Active
155,142,Group,2024-12-18,2025-12-18,2311.54,33417.24,Active
156,34,Family,2023-08-21,2024-08-20,1620.97,17070.6,Active
157,35,Individual,2025-01-25,2026-01-25,4125.78,40992.09,Cancelled
158,197,Group,2023-08-02,2024-08-01,4877.23,19412.63,Active
159,60,Family,2023-12-25,2024-12-24,2413.85,33641.12,Cancelled
160,128,Individual,2023-01-05,2024-01-05,3464.07,11040.58,Cancelled
161,92,Family,2025-07-04,2026-07-04,2822.41,10505.42,Active
162,143,Group,2022-12-23,2023-12-23,1652.15,45163.14,Cancelled
163,124,Group,2022-11-12,2023-11-12,2255.77,43911.23,Expired
164,36,Group,2023-01-20,2024-01-20,2607.42,17642.67,Expired
165,75,Family,2024-01-01,2024-12-31,4775.1,18346.54,Expired
166,186,Group,2024-10-04,2025-10-04,4846.77,23726.61,Expired
167,172,Group,2024-04-17,2025-04-17,3639.08,19036.69,Expired
168,172,Individual,2025-04-21,2026-04-21,2219.61,24254.32,Cancelled
169,15,Group,2025-07-25,2026-07-25,3521.75,24136.78,Expired
170,161,Individual,2024-05-08,2025-05-08,1098.26,11798.53,Active
171,168,Family,2024-09-30,2025-09-30,1266.18,12496.23,Cancelled
172,109,Individual,2024-02-02,2025-02-01,4569.72,18660.97,Expired
173,37,Family,2024-02-28,2025-02-27,2247.81,35963.03,Cancelled
174,192,Family,2025-04-26,2026-04-26,2530.67,26371.38,Expired
175,137,Group,2022-10-31,2023-10-31,4218.4,49225.11,Cancelled
176,119,Individual,2023-03-12,2024-03-11,3258.91,14903.82,Expired
177,44,Individual,2024-07-16,2025-07-16,3002.22,34873.76,Cancelled
178,132,Group,2023-01-11,2024-01-11,3798.41,13185.9,Active
179,46,Individual,2024-12-10,2025-12-10,4783.83,48262.58,Active
180,191,Group,2024-02-01,2025-01-31,3245.64,38711.71,Expired
181,154,Individual,2023-03-20,2024-03-19,3482.04,28300.47,Active
182,158,Group,2024-05-22,2025-05-22,1160.2,23610.01,Cancelled
183,188,Family,2024-02-02,2025-02-01,1109.07,47296.92,Active
184,128,Individual,2022-10-07,2023-10-07,2433.46,36865.82,Expired
185,61,Group,2024-07-09,2025-07-09,2423.24,39419.99,Expired
186,87,Family,2024-05-13,2025-05-13,4213.3,47776.83,Active
187,80,Group,2025-03-26,2026-03-26,4602.17,32017.94,Active
188,198,Group,2023-05-14,2024-05-13,3282.0,20497.86,Cancelled
189,10,Family,2024-02-24,2025-02-23,2580.26,14800.62,Expired
190,127,Individual,2024-08-13,2025-08-13,1082.74,39598.34,Active
191,66,Group,2024-08-11,2025-08-11,3721.57,38108.36,Expired
192,176,Individual,2023-08-26,2024-08-25,4050.39,30650.44,Expired
193,65,Individual,2024-02-22,2025-02-21,1463.98,49268.96,Active
194,151,Group,2025-02-07,2026-02-07,3880.34,37252.99,Expired
195,42,Individual,2025-04-12,2026-04-12,2322.63,39895.8,Active
196,150,Individual,2022-09-09,2023-09-09,3259.48,48092.27,Expired
197,75,Group,2025-07-05,2026-07-05,2173.7,29794.37,Expired
198,154,Family,2025-02-02,2026-02-02,4949.88,10040.51,Active
199,146,Individual,2023-07-27,2024-07-26,2767.56,23653.85,Active
200,185,Family,2024-12-11,2025-12-11,4639.62,36568.36,Cancelled
201,200,Family,2022-12-16,2023-12-16,3989.13,17506.18,Cancelled
202,109,Family,2023-09-06,2024-09-05,4799.15,16953.34,Active
203,17,Group,2023-01-06,2024-01-06,3557.56,33187.48,Cancelled
204,162,Group,2025-03-20,2026-03-20,3420.18,40190.16,Expired
205,80,Family,2023-05-23,2024-05-22,1054.54,41141.25,Cancelled
206,72,Family,2024-05-28,2025-05-28,3151.48,32182.39,Expired
207,49,Group,2024-07-05,2025-07-05,4130.36,41660.55,Active
208,193,Group,2023-08-28,2024-08-27,1621.33,36445.11,Cancelled
209,99,Family,2025-07-02,2026-07-02,2856.52,11454.77,Expired
210,163,Group,2023-11-30,2024-11-29,4193.91,40409.43,Active
211,93,Group,2025-03-30,2026-03-30,4926.2,16340.66,Active
212,162,Family,2025-06-27,2026-06-27,3511.26,29879.59,Cancelled
213,189,Individual,2025-03-30,2026-03-30,3286.24,19683.19,Active
214,195,Family,2023-02-03,2024-02-03,1311.7,27927.19,Cancelled
215,183,Family,2022-08-27,2023-08-27,4455.05,45798.37,Cancelled
216,26,Individual,2024-09-24,2025-09-24,1657.94,46942.37,Expired
217,163,Family,2025-05-04,2026-05-04,4761.56,20107.42,Expired
218,157,Family,2022-11-18,2023-11-18,1362.52,11205.37,Active
219,196,Family,2022-09-13,2023-09-13,1811.15,25915.94,Expired
220,199,Group,2023-04-18,2024-04-17,3502.57,25570.48,Active
221,150,Family,2025-07-31,2026-07-31,2418.33,32751.55,Cancelled
222,182,Family,2025-05-18,2026-05-18,2312.46,10972.05,Expired
223,134,Individual,2022-11-09,2023-11-09,1166.35,32636.77,Expired
224,93,Individual,2024-09-01,2025-09-01,1277.49,38691.51,Cancelled
225,139,Family,2023-03-16,2024-03-15,1172.48,47125.3,Active
226,81,Family,2023-06-17,2024-06-16,4621.07,49372.5,Cancelled
227,71,Family,2024-06-24,2025-06-24,3683.56,33826.53,Expired
228,79,Group,2023-04-05,2024-04-04,1239.39,15015.3,Active
229,124,Group,2025-05-06,2026-05-06,3567.57,40562.74,Active
230,187,Group,2022-10-20,2023-10-20,1173.88,32197.87,Cancelled
231,179,Group,2023-07-03,2024-07-02,2549.06,17208.86,Cancelled
232,22,Individual,2023-05-02,2024-05-01,3239.19,42531.95,Active
233,67,Family,2025-01-05,2026-01-05,3801.62,20155.28,Expired
234,133,Family,2022-09-23,2023-09-23,4994.17,16207.94,Expired
235,142,Individual,2023-07-10,2024-07-09,1154.4,33420.11,Cancelled
236,132,Individual,2022-12-02,2023-12-02,4583.88,22643.21,Active
237,50,Group,2023-04-16,2024-04-15,4164.07,34435.71,Expired
238,134,Individual,2024-12-02,2025-12-02,3838.12,46506.75,Active
239,122,Group,2022-08-27,2023-08-27,1228.66,13296.66,Cancelled
240,88,Individual,2023-06-25,2024-06-24,4251.85,13199.48,Expired
241,156,Family,2024-05-04,2025-05-04,3281.1,23432.3,Expired
242,132,Family,2025-05-06,2026-05-06,4948.99,44458.43,Active
243,35,Family,2024-12-25,2025-12-25,4702.07,17303.97,Active
244,5,Family,2025-06-11,2026-06-11,4543.75,17733.71,Expired
245,166,Individual,2024-08-30,2025-08-30,3795.37,41870.66,Active
246,154,Group,2025-08-02,2026-08-02,1672.65,46735.98,Active
247,105,Individual,2025-04-16,2026-04-16,2762.83,34165.67,Cancelled
248,194,Family,2022-09-03,2023-09-03,3689.27,32509.43,Expired
249,106,Individual,2024-08-06,2025-08-06,1122.75,42096.17,Active
250,100,Individual,2024-11-09,2025-11-09,2430.44,14934.63,Expired
251,6,Individual,2024-05-02,2025-05-02,2615.05,37622.88,Active
252,83,Family,2023-10-15,2024-10-14,4163.02,39840.46,Cancelled
253,127,Family,2022-09-23,2023-09-23,1321.8,12068.96,Expired
254,68,Individual,2024-07-02,2025-07-02,3591.99,13828.72,Active
255,86,Family,2025-08-18,2026-08-18,4820.59,28855.3,Active
256,40,Group,2023-05-18,2024-05-17,3502.13,21483.25,Active
257,1,Family,2024-09-12,2025-09-12,2350.76,47776.56,Cancelled
258,38,Individual,2023-06-23,2024-06-22,1698.46,46834.78,Cancelled
259,175,Individual,2022-12-13,2023-12-13,4772.61,47365.62,Expired
260,7,Family,2023-06-17,2024-06-16,4834.32,35033.51,Expired
261,12,Individual,2024-08-10,2025-08-10,1961.16,21263.06,Active
262,61,Family,2022-10-06,2023-10-06,1904.16,45133.75,Expired
263,94,Group,2024-01-05,2025-01-04,1551.99,32596.74,Active
264,42,Group,2024-04-11,2025-04-11,1022.55,25596.31,Active
265,39,Individual,2023-02-18,2024-02-18,1100.66,22932.94,Active
266,10,Individual,2025-07-22,2026-07-22,4108.48,14476.1,Cancelled
267,38,Individual,2024-04-29,2025-04-29,3694.36,25194.97,Active
268,108,Family,2023-05-29,2024-05-28,3272.18,37457.25,Cancelled
269,64,Individual,2024-04-08,2025-04-08,2456.11,18666.51,Expired
270,19,Individual,2025-03-23,2026-03-23,2631.03,36347.26,Active
271,111,Family,2024-12-14,2025-12-14,1982.58,25270.37,Expired
272,62,Group,2024-06-07,2025-06-07,2924.73,46816.72,Active
273,65,Family,2023-12-17,2024-12-16,4540.16,24871.87,Active
274,155,Group,2023-05-21,2024-05-20,4118.38,45070.06,Expired
275,11,Group,2024-05-22,2025-05-22,2286.28,41922.85,Cancelled
276,28,Group,2024-12-24,2025-12-24,4510.56,11948.71,Cancelled
277,101,Individual,2023-10-08,2024-10-07,4070.98,39240.1,Expired
278,111,Individual,2025-05-31,2026-05-31,3852.78,34167.37,Active
279,44,Family,2024-11-11,2025-11-11,2897.44,16360.37,Expired
280,196,Group,2023-02-23,2024-02-23,1450.06,24731.3,Active
281,161,Family,2024-05-26,2025-05-26,4064.53,35210.79,Active
282,51,Family,2023-01-03,2024-01-03,1707.59,33347.25,Expired
283,98,Group,2024-02-14,2025-02-13,1165.85,32057.4,Active
284,175,Family,2025-05-05,2026-05-05,2076.28,39115.04,Expired
285,35,Individual,2022-09-03,2023-09-03,1441.2,24278.55,Active
286,111,Group,2024-12-08,2025-12-08,2593.59,13046.75,Cancelled
287,182,Group,2024-09-05,2025-09-05,1311.3,27017.12,Cancelled
288,142,Individual,2023-11-23,2024-11-22,1676.93,18298.56,Active
289,8,Group,2024-04-17,2025-04-17,1542.22,29721.68,Cancelled
290,189,Family,2025-01-19,2026-01-19,3865.79,23406.89,Active
291,105,Family,2024-07-06,2025-07-06,4596.87,23698.94,Cancelled
292,85,Group,2025-05-01,2026-05-01,3780.63,46486.69,Cancelled
293,191,Group,2024-09-28,2025-09-28,2220.97,45219.73,Expired
294,89,Family,2024-02-23,2025-02-22,4794.85,30461.86,Expired
295,105,Individual,2024-08-29,2025-08-29,3733.75,16160.58,Active
296,150,Group,2024-10-13,2025-10-13,3536.21,49241.21,Cancelled
297,28,Group,2024-10-13,2025-10-13,4117.13,37922.83,Cancelled
298,165,Group,2023-09-03,2024-09-02,4926.88,14447.4,Cancelled
299,188,Group,2022-09-30,2023-09-30,1674.55,13415.08,Active
300,3,Individual,2024-03-05,2025-03-05,4569.65,42694.56,Expired
301,82,Individual,2023-08-11,2024-08-10,3703.9,24763.78,Cancelled
302,65,Group,2023-09-08,2024-09-07,2946.13,41029.15,Active
303,144,Group,2023-12-11,2024-12-10,4308.97,13117.33,Cancelled
304,44,Individual,2023-09-17,2024-09-16,4309.95,43982.65,Cancelled
305,105,Group,2024-06-19,2025-06-19,3642.59,27527.42,Cancelled
306,104,Family,2024-06-29,2025-06-29,1084.68,15370.68,Expired
307,44,Family,2023-10-25,2024-10-24,3259.77,46650.28,Active
308,165,Group,2023-10-31,2024-10-30,2620.75,19323.82,Expired
309,11,Family,2023-03-04,2024-03-03,3480.01,20747.67,Cancelled
310,126,Group,2022-09-27,2023-09-27,3579.95,28907.15,Active
311,59,Group,2023-08-30,2024-08-29,2457.29,22098.14,Cancelled
312,37,Family,2023-03-18,2024-03-17,1275.38,12739.68,Expired
313,145,Family,2025-03-27,2026-03-27,3224.56,20621.06,Active
314,29,Family,2024-09-30,2025-09-30,1564.28,42474.53,Active
315,169,Individual,2023-07-03,2024-07-02,4291.99,15472.35,Cancelled
316,51,Individual,2025-01-09,2026-01-09,1132.25,26174.13,Cancelled
317,194,Group,2024-12-25,2025-12-25,2961.38,37616.88,Expired
318,144,Family,2025-06-16,2026-06-16,4498.82,23721.82,Active
319,176,Individual,2024-09-26,2025-09-26,1966.76,29909.64,Expired
320,71,Individual,2024-10-04,2025-10-04,1035.89,24194.61,Cancelled
321,88,Individual,2022-11-13,2023-11-13,1310.01,32946.68,Active
322,190,Family,2025-03-27,2026-03-27,4854.29,44429.27,Active
323,60,Family,2025-06-07,2026-06-07,4743.57,39695.52,Expired
324,169,Family,2024-12-23,2025-12-23,2131.59,34496.66,Active
325,103,Family,2024-08-21,2025-08-21,3001.01,28838.75,Cancelled
326,182,Family,2022-10-27,2023-10-27,3528.64,24350.05,Expired
327,92,Family,2022-09-16,2023-09-16,4069.3,38574.78,Expired
328,27,Family,2025-08-07,2026-08-07,4614.4,14825.1,Active
329,89,Individual,2025-04-04,2026-04-04,3973.29,47186.06,Expired
330,128,Individual,2023-01-23,2024-01-23,1439.9,25356.26,Expired
331,119,Group,2025-07-22,2026-07-22,2847.1,47430.42,Cancelled
332,159,Individual,2023-08-09,2024-08-08,3702.52,30088.89,Expired
333,60,Family,2025-01-29,2026-01-29,3071.67,10065.65,Expired
334,82,Family,2022-12-17,2023-12-17,4563.91,19095.13,Expired
335,13,Group,2024-12-04,2025-12-04,4085.47,26260.11,Expired
336,52,Group,2023-08-30,2024-08-29,2307.25,14524.33,Cancelled
337,94,Individual,2023-04-12,2024-04-11,1934.93,11747.75,Expired
338,137,Individual,2024-06-08,2025-06-08,1518.62,42860.22,Cancelled
339,52,Individual,2025-01-19,2026-01-19,3964.24,17908.22,Active
340,134,Group,2025-06-09,2026-06-09,4384.43,12671.15,Active
341,60,Individual,2025-05-25,2026-05-25,4713.29,25277.16,Active
342,112,Individual,2023-12-05,2024-12-04,2524.98,40613.92,Cancelled
343,69,Individual,2023-03-28,2024-03-27,3331.24,38154.11,Expired
344,174,Family,2025-05-03,2026-05-03,3562.99,33836.09,Active
345,65,Individual,2025-06-02,2026-06-02,3859.37,20914.85,Cancelled
346,37,Group,2023-07-18,2024-07-17,4088.45,15436.17,Active
347,147,Group,2023-09-27,2024-09-26,2278.15,26846.89,Cancelled
348,31,Group,2025-03-30,2026-03-30,1422.12,46442.42,Active
349,131,Family,2025-01-23,2026-01-23,2879.2,28196.1,Expired
350,33,Family,2024-08-02,2025-08-02,2017.74,13142.0,Cancelled
351,86,Individual,2023-11-18,2024-11-17,2815.21,24041.95,Expired
352,7,Family,2023-10-29,2024-10-28,3893.65,10240.26,Expired
353,196,Family,2023-04-05,2024-04-04,1895.93,19642.38,Expired
354,122,Individual,2025-07-22,2026-07-22,1913.04,21340.85,Cancelled
355,125,Group,2023-09-20,2024-09-19,4727.48,15952.33,Cancelled
356,176,Individual,2023-08-06,2024-08-05,1750.43,47310.78,Cancelled
357,173,Individual,2024-12-16,2025-12-16,4784.79,16204.3,Active
358,86,Group,2024-05-28,2025-05-28,4220.66,40629.93,Expired
359,100,Group,2023-07-06,2024-07-05,1750.53,29843.98,Active
360,101,Individual,2023-09-05,2024-09-04,4148.19,42074.22,Expired
361,195,Group,2025-07-07,2026-07-07,4319.23,17505.73,Expired
362,47,Group,2022-10-20,2023-10-20,4692.34,38503.06,Cancelled
363,150,Family,2024-10-16,2025-10-16,1608.59,37549.39,Expired
364,170,Group,2023-03-19,2024-03-18,4715.23,33922.55,Active
365,63,Family,2023-10-21,2024-10-20,4619.8,43741.03,Cancelled
366,188,Individual,2025-02-20,2026-02-20,1002.06,12490.59,Active
367,114,Group,2024-03-01,2025-03-01,3439.89,36433.25,Active
368,194,Group,2023-07-31,2024-07-30,2702.11,35829.12,Expired
369,175,Family,2023-10-04,2024-10-03,2973.72,17685.85,Expired
370,143,Family,2023-07-26,2024-07-25,3870.02,25632.71,Cancelled
371,82,Family,2022-09-17,2023-09-17,1269.29,18790.97,Active
372,193,Individual,2024-11-10,2025-11-10,4815.38,25762.24,Expired
373,182,Group,2025-03-14,2026-03-14,1840.08,24715.05,Active
374,6,Family,2022-12-14,2023-12-14,1829.29,44155.79,Cancelled
375,146,Family,2024-09-23,2025-09-23,3163.38,35335.14,Cancelled
376,35,Group,2023-10-12,2024-10-11,3571.88,29588.36,Expired
377,140,Group,2024-12-04,2025-12-04,1264.18,34193.86,Cancelled
378,127,Individual,2023-07-22,2024-07-21,1815.83,34680.54,Expired
379,80,Individual,2022-10-06,2023-10-06,3980.09,40694.51,Active
380,158,Individual,2024-02-25,2025-02-24,3351.58,48333.53,Expired
381,40,Family,2024-03-30,2025-03-30,2033.57,33740.69,Expired
382,57,Family,2024-06-02,2025-06-02,2536.25,30272.53,Expired
383,59,Group,2024-07-03,2025-07-03,2055.53,13559.09,Active
384,81,Group,2024-12-29,2025-12-29,3336.72,29401.6,Cancelled
385,123,Family,2024-03-24,2025-03-24,2277.75,39166.5,Active
386,30,Family,2024-06-14,2025-06-14,3428.62,47427.83,Active
387,195,Individual,2023-09-28,2024-09-27,4540.64,14756.24,Expired
388,64,Individual,2023-10-28,2024-10-27,3517.28,20566.64,Active
389,89,Family,2024-12-05,2025-12-05,2494.96,42123.2,Active
390,191,Group,2023-11-14,2024-11-13,3167.68,23549.81,Cancelled
391,4,Individual,2025-07-01,2026-07-01,4632.15,42780.08,Cancelled
